squad,valor_millones_eur,puntos,temporada,costo_por_punto
Manchester City,1358.0,71,2024/2025,19.13
Chelsea FC,1194.0,69,2024/2025,17.3
Arsenal FC,1158.4,74,2024/2025,15.65
Liverpool FC,951.0,84,2024/2025,11.32
Manchester United,825.0,42,2024/2025,19.64
Tottenham Hotspur,777.3,38,2024/2025,20.46
Aston Villa,680.6,66,2024/2025,10.31
Newcastle United,677.5,66,2024/2025,10.27
Brighton & Hove Albion,667.6,61,2024/2025,10.94
Crystal Palace,526.8,53,2024/2025,9.94
AFC Bournemouth,518.6,56,2024/2025,9.26
Nottingham Forest,481.3,65,2024/2025,7.4
Wolverhampton Wanderers,433.0,42,2024/2025,10.31
Brentford FC,427.8,56,2024/2025,7.64
West Ham United,400.7,43,2024/2025,9.32
Everton FC,363.2,48,2024/2025,7.57
Fulham FC,362.4,54,2024/2025,6.71
Southampton FC,310.0,12,2024/2025,25.83
Ipswich Town,270.1,22,2024/2025,12.28
Leicester City,253.4,25,2024/2025,10.14
AFC Bournemouth,401.75,48,2023/2024,8.37
Arsenal FC,1203.05,89,2023/2024,13.52
Aston Villa,709.65,68,2023/2024,10.44
Brentford FC,428.78,39,2023/2024,10.99
Brighton & Hove Albion,524.4,48,2023/2024,10.92
Burnley FC,273.48,24,2023/2024,11.4
Chelsea FC,1013.65,63,2023/2024,16.09
Crystal Palace,446.58,49,2023/2024,9.11
Everton FC,391.75,40,2023/2024,9.79
Fulham FC,384.35,47,2023/2024,8.18
Liverpool FC,955.65,82,2023/2024,11.65
Luton Town,140.9,26,2023/2024,5.42
Manchester City,1462.5,91,2023/2024,16.07
Manchester United,808.35,60,2023/2024,13.47
Newcastle United,652.25,60,2023/2024,10.87
Nottingham Forest,501.35,32,2023/2024,15.67
Sheffield United,152.35,16,2023/2024,9.52
Tottenham Hotspur,838.5,66,2023/2024,12.7
West Ham United,487.5,52,2023/2024,9.38
Wolverhampton Wanderers,442.72,46,2023/2024,9.62
AFC Bournemouth,287.2,39,2022/2023,7.36
Arsenal FC,1000.7,84,2022/2023,11.91
Aston Villa,509.55,61,2022/2023,8.35
Brentford FC,371.2,59,2022/2023,6.29
Brighton & Hove Albion,529.8,62,2022/2023,8.55
Chelsea FC,994.95,44,2022/2023,22.61
Crystal Palace,323.05,45,2022/2023,7.18
Everton FC,413.15,36,2022/2023,11.48
Fulham FC,295.1,52,2022/2023,5.68
Leeds United,345.15,31,2022/2023,11.13
Leicester City,490.7,34,2022/2023,14.43
Liverpool FC,811.85,67,2022/2023,12.12
Manchester City,1145.95,89,2022/2023,12.88
Manchester United,847.75,75,2022/2023,11.3
Newcastle United,541.6,71,2022/2023,7.63
Nottingham Forest,376.25,38,2022/2023,9.9
Southampton FC,419.95,25,2022/2023,16.8
Tottenham Hotspur,649.1,60,2022/2023,10.82
West Ham United,465.6,40,2022/2023,11.64
Wolverhampton Wanderers,497.65,41,2022/2023,12.14
